product_name,product_card_id,count,quantity,price
LIJA Women's Mid-Length Panel Golf Shorts,724,73,227,100.0
Nike Men's Free 5.0+ Running Shoe,191,12169,36680,99.98999786
Nike Men's Free TR 5.0 TB Training Shoe,359,68,206,99.98999786
Nike Kids' Grade School KD VI Basketball Shoe,78,63,186,99.98999786
Merrell Women's Grassbow Sport Hiking Shoe,646,70,207,99.98999786
TaylorMade White Smoke IN-12 Putter,677,63,193,99.98999786
Fitbit The One Wireless Activity & Sleep Trac,295,62,187,99.94999695
The North Face Women's Recon Backpack,981,57,181,99.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,258,70,206,94.98999786
Polar FT4 Heart Rate Monitor,306,60,196,89.98999786
Brooks Women's Ghost 6 Running Shoe,251,66,212,89.98999786
Adult dog supplies,1359,492,492,84.40000153
LIJA Women's Argyle Golf Polo,730,66,195,80.0
Elevation Training Mask 2.0,24,74,231,79.98999786
Bag Boy M330 Push Cart,777,69,208,79.98999786
MDGolf Pittsburgh Penguins Putter,691,53,145,79.98999786
adidas Youth Germany Black/Red Away Match Soc,565,314,969,70.0
LIJA Women's Eyelet Sleeveless Golf Polo,728,309,946,65.0
Perfect Fitness Perfect Rip Deck,365,24515,73698,59.99000168
adidas Men's F10 Messi TRX FG Soccer Cleat,44,305,939,59.99000168
Baby sweater,1347,207,207,59.08000183
Under Armour Women's Micro G Skulpt Running S,249,287,847,54.97000122
Titleist Pro V1x High Numbers Personalized Go,823,306,908,51.99000168
Titleist Pro V1 High Numbers Personalized Gol,821,292,851,51.99000168
Nike Men's Dri-FIT Victory Golf Polo,502,21035,62956,50.0
O'Brien Men's Neoprene Life Vest,1014,19298,57803,49.97999954
Titleist Pro V1x High Numbers Golf Balls,822,265,800,47.99000168
Titleist Pro V1x Golf Balls,818,291,863,47.99000168
Nike Men's Comfort 2 Slide,116,328,991,44.99000168
Under Armour Men's Compression EV SL Slide,278,280,813,44.99000168
TYR Boys' Team Digi Jammer,572,300,880,39.99000168
Under Armour Girls' Toddler Spine Surge Runni,627,10617,31735,39.99000168
Clicgear Rovic Cooler Bag,771,284,867,39.99000168
Fighting video games,1362,838,838,39.75
adidas Kids' F5 Messi FG Soccer Cleat,37,262,781,34.99000168
Under Armour Hustle Storm Medium Duffle Bag,235,299,846,34.99000168
Bridgestone e6 Straight Distance NFL Tennesse,825,257,805,31.98999977
Under Armour Women's Ignite Slide,276,311,919,31.98999977
Under Armour Women's Ignite PIP VI Slide,282,285,848,31.98999977
Bridgestone e6 Straight Distance NFL San Dieg,828,310,906,31.98999977
Bridgestone e6 Straight Distance NFL Carolina,835,308,928,31.98999977
Sports Books ,1346,405,405,31.07999992
Nike Women's Tempo Shorts,172,318,907,30.0
Nike Men's Deutschland Weltmeister Winners Bl,564,298,907,30.0
Columbia Men's PFG Anchor Tough T-Shirt,642,304,928,30.0
ENO Atlas Hammock Straps,977,323,998,29.98999977
Under Armour Kids' Mercenary Slide,273,251,795,27.98999977
adidas Men's Germany Black Crest Away Tee,567,289,859,25.0
Nike Women's Legend V-Neck T-Shirt,134,279,801,25.0
Team Golf St. Louis Cardinals Putter Grip,885,313,958,24.98999977
Team Golf Tennessee Volunteers Putter Grip,906,300,915,24.98999977
Team Golf Texas Longhorns Putter Grip,905,299,895,24.98999977
Team Golf Pittsburgh Steelers Putter Grip,893,295,887,24.98999977
Team Golf New England Patriots Putter Grip,897,281,823,24.98999977
Team Golf San Francisco Giants Putter Grip,886,292,871,24.98999977
Under Armour Men's Tech II T-Shirt,93,280,835,24.98999977
Bag Boy Beverage Holder,778,279,845,24.98999977
Nike Dri-FIT Crew Sock 6 Pack,135,308,883,22.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,917,295,930,21.98999977
Glove It Women's Mod Oval Golf Glove,810,277,802,19.98999977
Glove It Women's Imperial Golf Glove,804,307,941,19.98999977
Top Flite Women's 2014 XL Hybrid,703,303,887,19.98999977
Hirzl Women's Soffft Flex Golf Glove,797,298,889,17.98999977
Glove It Imperial Golf Towel,926,302,930,15.98999977
Glove It Urban Brick Golf Towel,924,300,885,15.98999977
Hirzl Women's Hybrid Golf Glove,793,311,888,14.98999977
Hirzl Men's Hybrid Golf Glove,792,282,864,14.98999977
Toys ,1361,529,529,11.53999996
CDs of rock,1348,271,271,11.28999996
Clicgear 8.0 Shoe Brush,775,285,888,9.989999771
